gene,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val
SFT2D1,5.681187391304348,5.4846539344262295,0.19653345687811807,0.00528803847603836,0.6281777144214779,0.012261114366082685
SFT2D2,6.073820579710144,5.624740000000001,0.44908057971014337,8.042176989118184e-08,0.8042290330244714,1.3702526943213886e-06
SFT2D3,5.2893743478260875,5.334398852459017,-0.04502450463292984,0.4002265353648312,0.4433357091945831,0.4758128434320267
SFTA2,4.376904782608696,3.7841834426229504,0.5927213399857454,4.2075092473935945e-08,0.7493466381563316,7.954896736825527e-07
SFTPA2,3.5941805434782608,3.674485614754098,-0.0803050712758373,0.022046324286926426,0.38013779995248276,0.04045432755814964
SFTPB,4.027458985507247,4.1420034426229515,-0.11454445711570482,0.0011295219673410496,0.3449750534568781,0.003432669084278793
SFTPC,3.973499710144928,4.145165573770492,-0.1716658636255639,0.00026358405033136796,0.3137324780232834,0.0010321988564562163
SFTPD,4.220772898550724,4.311110983606556,-0.09033808505583263,0.05352674468986776,0.40936089332382986,0.08564193521287992
SFXN1,5.912705507246376,5.393393442622951,0.519312064623425,2.123751184428647e-09,0.800902827274887,7.056710123276781e-08
SFXN2,4.091309565217391,4.3347829508196725,-0.2434733856022815,1.4309826032285734e-06,0.2580185317177477,1.4426141053730933e-05
SFXN3,5.8076249275362315,5.4204996721311485,0.387125255405083,4.800492160362589e-09,0.7828462817771442,1.3467636000523545e-07
SFXN4,5.659488550724638,5.840287049180329,-0.18079849845569118,0.004136666052135784,0.35899263483012595,0.010014005934996018
SFXN5,4.64325579710145,4.628280655737705,0.014975141363744449,0.7211975319661874,0.5146115466856737,0.7710376393329581
SGCA,4.581401739130435,4.700857377049182,-0.11945563791874747,0.016371938058899114,0.3744357329531956,0.03158516793081483
SGCB,6.911310724637682,6.4096393442622945,0.5016713803753872,3.537977540692965e-08,0.7735804229033024,6.857574103341219e-07
SGCD,4.708502463768115,4.233895573770492,0.4746068899976228,1.1313013128122916e-05,0.7224994060346877,7.838385923167394e-05
SGCE,5.849756231884058,5.926028360655737,-0.076272128771679,0.2807304396925138,0.4416726063197909,0.3519996856496806
SGCG,3.1952608695652174,3.3499160655737703,-0.15465519600855293,0.008557318423963395,0.34687574245664055,0.018362158381735657
SGCZ,2.353424347826088,2.4895911475409838,-0.13616679971489587,0.00017758337803816277,0.30696127346162994,0.0007500422953752892
SGF29,5.056458260869565,5.283518032786885,-0.22705977191731996,5.509728639981122e-05,0.28248990258968876,0.0002896480998305976
SGIP1,4.7360518840579715,3.8058065573770494,0.9302453266809221,7.635843372301718e-14,0.8486576383939177,1.735679261092628e-11
SGK1,7.533090144927535,8.17757918032787,-0.6444890354003343,4.16520600754676e-08,0.22428130197196486,7.905911276719186e-07
SGK2,4.233434637681159,4.495903770491802,-0.26246913281064277,0.0024253603957523026,0.3338085055832739,0.006447107507805091
SGK223,5.495266231884057,5.305080655737704,0.19018557614635245,0.0020660248377765557,0.6545497742931813,0.005658865511439743
SGK494,4.088131884057971,3.964326393442623,0.1238054906153474,0.0027333897321432945,0.6790211451651224,0.007111861968270333
SGMS1,5.653684202898551,5.880066885245902,-0.22638268234735115,2.3638049744959833e-05,0.288191969588976,0.00014354338465344003
