gene,importance_rf
MAST2,0.000149251003188174
GBP1P1,0.00014534078985355175
PDLIM7,0.00014307252351970133
GRHL1,0.0001402629082531508
TMPRSS4,0.0001402629082531508
ASPN,0.00013986486486486485
BRCA2,0.00013946907424875352
MFAP2,0.00013460036266860968
PATL1,0.0001182894112334634
RACGAP1,0.00011696725359119684
TPX2,0.00011683429848623395
TRIP13,0.00011629474819658869
KRT7,0.00011629474819658868
TOP2A,0.00011602594682326878
ECM1,0.00011595079653155878
PRKCI,0.00011592283379970421
DIO2,0.00011592060810810822
EGLN3,0.0001159171466548516
CAMK2N1,0.00011582669457196883
CD68,0.00011557493117447961
MXRA5,0.00011551554422025841
GPR87,0.00011551119646369148
TXN,0.00011550679503111818
GBP4,0.00011550533584431899
IFITM1,0.00011540744657299168
ACSL3,0.00011540744657299168
CLDN4,0.00011539017647249485
HLA-C,0.00011536918138041707
ST14,0.00011528822055137833
CAPN9,0.00011528423133959466
BRIP1,0.00011528019491820389
CARD11,0.00011526873302254964
NUF2,0.00011526873302254964
MGLL,0.00011524873361222189
SFTA2,0.00011467111905885223
BMPR2,0.00011410763087990619
NRG3,0.00011410252333608608
LRRC8A,0.00011402757433540774
MELK,0.0001140164468398742
KPNA7,0.00011394765984729306
EZR,0.00011373881966479539
MAL2,0.00011364146790639145
SMC4,0.00011326985325915256
AP3M2,0.0001132292827335194
TIMP2,0.00010544525404665266
EPS8,0.00010320612057167214
FIBIN,0.00010190217391304349
CYP2C18,0.00010008606434518573
RALB,9.952018769411245e-05
PLS3,9.685352378385662e-05
ST6GALNAC1,9.685352378385662e-05
MSMO1,9.668415388754375e-05
FAM91A1,9.5955383168314e-05
COL10A1,9.316770186335403e-05
FAM83D,9.3167701863354e-05
CALM2,9.288550851450491e-05
KRT16,9.277310924369746e-05
EPS8L3,9.277310924369742e-05
FER1L4,9.054947241659096e-05
ADSS,9.03718884103638e-05
TRPS1,8.889919604205317e-05
MRVI1,8.749239196591603e-05
HIST2H2BE,8.727990285367334e-05
ANTXR1,8.722106114744152e-05
PML,8.716817140547097e-05
CD58,8.716817140547097e-05
EDIL3,8.712121212121212e-05
FGD6,8.708016423234838e-05
IQGAP1,8.708016423234838e-05
SLCO4A1,8.704501110139273e-05
OSMR,8.704501110139273e-05
BNC2,8.701573849878938e-05
PSMB8,8.701573849878935e-05
BAIAP2L1,8.699233458848845e-05
