gene,importance_l1,rank_l1,importance_rf,rank_rf,importance_xgb,rank_xgb,log2fc,auc,log2fc_val,auc_val,stability_score,rank_score_l1,rank_score_rf,rank_score_xgb,model_consensus_score,consensus_score
MUC4,0.0,240,0.0003303075634642678,116,0.00794678,11,4.327583566574715,0.9027787122384444,0.7988702304585416,0.7669280114041339,0.8348531002913131,0.7297297297297297,0.8693693693693694,0.9876126126126126,0.8622372372372372,0.8485451687642751
MX1,0.0,129,0.00022650123880337128,144,0.0,208,3.452151981430398,0.9709177151315347,0.7766059515324288,0.783559040152055,0.8772382752387091,0.8547297297297297,0.8378378378378378,0.7657657657657657,0.8194444444444443,0.8483413598415768
TIMP1,0.0,105,3.8030965302303484e-05,277,0.0,69,4.767543567920339,0.989874184215838,0.7569289783796656,0.7403183654074602,0.8650842532140286,0.8817567567567568,0.6880630630630631,0.9222972972972973,0.8307057057057058,0.8478949794598671
GREB1L,0.05755657362268947,13,0.0,344,0.0,103,4.079400053824935,0.9397833546390366,0.6443090377761944,0.793775243525778,0.8667792734609852,0.9853603603603603,0.6126126126126126,0.884009009009009,0.8273273273273273,0.8470533003941563
LGALS1,0.0,32,0.0,345,0.0,83,4.214536412568122,0.9848617371997577,0.6279688310762666,0.7486338797814208,0.8667462195465344,0.963963963963964,0.6114864864864865,0.9065315315315315,0.8273273273273274,0.8470367734369308
IFI44L,0.0,47,0.0,352,0.0,62,4.000676838457915,0.9387909574110206,1.421541456402947,0.7918745545260156,0.8653327247131052,0.9470720720720721,0.6036036036036037,0.9301801801801802,0.826951951951952,0.8461423383325286
MIR31HG,0.0,46,0.0,354,0.0,63,7.508759923972279,0.9256543093588104,0.8311428961748635,0.8051793775243525,0.8654168071274726,0.9481981981981982,0.6013513513513513,0.9290540540540541,0.8262012012012012,0.8458090041643369
TFF1,0.0,215,0.0003666810257709856,100,0.0,175,10.361929126017627,0.9639036533674223,1.5119091969588974,0.7864100736516988,0.8751567378381154,0.7578828828828829,0.8873873873873874,0.8029279279279279,0.816066066066066,0.8456114019520907
GPSM2,0.0,41,0.0,355,0.0,71,2.1974145024557625,0.9541983448832673,0.7217472535043958,0.7776193870277976,0.8659080150210615,0.9538288288288288,0.6002252252252253,0.920045045045045,0.8246996996996997,0.8453038573603806
PTK7,0.0,45,0.0,356,0.0,65,3.105924665276189,0.9777299333916436,0.6046012116892383,0.7531480161558565,0.8654381374501656,0.9493243243243243,0.5990990990990991,0.9268018018018018,0.825075075075075,0.8452566062626203
