gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
HNRNPA3P8,-9.937967415730338,-9.902167664670657,-0.03579975105968103,0.9182690826240925,0.49680414451994886,0.0,1.0
HNRNPA3P9,-3.541724157303371,-2.1173095808383233,-1.4244145764650478,5.1067664758809e-13,0.27506223508040095,0.017964071856287425,1.5849509240984317e-12
HNRNPAB,6.80515617977528,4.272953892215569,2.532202287559711,5.919397551102596e-56,0.9908161205678531,1.0,8.983529221273087e-54
HNRNPABP1,-7.7888528089887625,-9.861041916167663,2.0721891071789003,9.96759084659983e-09,0.6784969387068559,0.0,2.7617246340853454e-08
HNRNPC,8.366639325842698,6.410762874251498,1.9558764515912,7.875028513638917e-54,0.9810939917916975,0.9880239520958084,2.456480539709699e-52
HNRNPCL1,-9.286067415730338,-8.998372455089818,-0.28769496064052014,0.3913898688762686,0.4733061965955728,0.0,0.6620660653357019
HNRNPCL2,-9.19262191011236,-9.69451976047904,0.5018978503666798,0.11755048204532328,0.5487452062167798,0.0,0.22105950976524297
HNRNPCL3,-9.907805056179775,-9.898170658682634,-0.009634397497141123,0.9896582631274888,0.49959631299199353,0.0,1.0
HNRNPCL4,-9.910134831460674,-9.636426347305386,-0.2737084841552875,0.43039846059649933,0.47544237367960707,0.0,0.7188564811599341
HNRNPCP1,-0.4893241573033707,-2.2368796407185627,1.747555483415192,1.614631504280531e-30,0.8576162282177219,0.6646706586826348,7.294981347544175e-30
HNRNPCP10,-9.885458988764045,-9.896319760479042,0.010860771714996886,0.9401586421270878,0.5023380205880373,0.0,1.0
HNRNPCP2,3.305939325842697,-1.1501251497005989,4.456064475543296,1.3635961709362286e-57,0.998183408463971,1.0,3.9809152723316605e-54
HNRNPCP3,-6.6042921348314625,-8.321858083832335,1.717565949000873,6.2825618234518555e-06,0.6406681019982507,0.0,1.5742952954899185e-05
HNRNPCP4,-7.5196241573033715,-8.4332,0.9135758426966278,0.011663936194238143,0.5785507636412568,0.0,0.02445281631158661
HNRNPCP6,-7.958205056179776,-9.227723353293412,1.2695182971136356,0.00035785730392118314,0.6111653098297786,0.0,0.0008270006201825252
HNRNPCP7,-1.8097393258426966,-1.9311904191616764,0.12145109331897985,0.04893992572893283,0.5613267846329812,0.09580838323353294,0.09665396093070644
