gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
KPNA6,3.545341011235955,2.12911377245509,1.416227238780865,2.8313187186128915e-47,0.9497746080871964,0.9341317365269461,2.5997097469445424e-46
CXCL5,4.035033146067416,-4.004094011976048,8.039127158043463,2.8986673431863344e-47,0.9497241472111956,0.9580838323353293,2.6602981612282413e-46
MTPAP,2.4494932584269664,1.1580898203592813,1.291403438067685,2.8986673431863344e-47,0.9497241472111956,0.9101796407185628,2.6602981612282413e-46
SMC4,3.7924219101123597,2.0258023952095807,1.766619514902779,2.8986673431863344e-47,0.9497241472111955,0.9461077844311377,2.6602981612282413e-46
TEAD3,4.164160674157303,1.9206790419161677,2.2434816322411355,2.9214693300285772e-47,0.9497073269191953,0.9520958083832335,2.679965468562544e-46
P2RY10,-0.3946702247191011,-5.728586826347307,5.333916601628206,2.9214693300285772e-47,0.9497073269191953,0.844311377245509,2.679965468562544e-46
RP11-247C2.2,-2.4689735955056182,-6.671382634730539,4.2024090392249205,2.9214693300285772e-47,0.9497073269191953,0.8802395209580839,2.679965468562544e-46
ANKRD45,-1.5068303370786518,-5.237602994011977,3.7307726569333246,2.967610236539488e-47,0.9496736863351948,0.8502994011976048,2.720588032343032e-46
CYP2U1,1.4297146067415731,-0.6496419161676646,2.079356522909238,2.967610236539488e-47,0.9496736863351948,0.9221556886227545,2.720588032343032e-46
LRRC31,-0.9608994382022472,-8.182199401197604,7.2212999629953565,2.967610236539488e-47,0.9496736863351947,0.9461077844311377,2.720588032343032e-46
DNAJB5,2.7215202247191015,0.22985808383233536,2.491662140886766,2.9909519486089835e-47,0.9496568660431945,0.9341317365269461,2.7411288501480423e-46
CCL3L3,0.6743269662921348,-4.264801796407186,4.939128762699321,2.9909519486089835e-47,0.9496568660431945,0.8982035928143712,2.7411288501480423e-46
TMEM47,3.2197258426966293,0.8784359281437126,2.3412899145529167,3.0144763795428954e-47,0.9496400457511943,0.9281437125748503,2.7618242225524296e-46
ASPHD1,4.342479213483147,2.042643113772455,2.2998360997106917,3.0144763795428954e-47,0.9496400457511942,0.8622754491017964,2.7618242225524296e-46
TAF1A,1.8097797752808988,0.01084131736526948,1.7989384579156293,3.038184952748777e-47,0.949623225459194,0.9101796407185628,2.7818054504060033e-46
PIAS1,3.7303455056179775,2.3089808383233534,1.421364667294624,3.038184952748777e-47,0.9496232254591939,0.9041916167664671,2.7818054504060033e-46
RP11-689K5.3,0.7380646067415729,-4.867106586826348,5.605171193567921,3.038184952748777e-47,0.9496232254591939,0.8922155688622755,2.7818054504060033e-46
HNRNPA2B1,8.673002808988764,7.333089221556886,1.3399135874318784,3.0620791026681823e-47,0.9496064051671937,0.9461077844311377,2.802369253451098e-46
FADS2,4.307851685393259,1.5629976047904195,2.744854080602839,3.0620791026681823e-47,0.9496064051671937,0.8922155688622755,2.802369253451098e-46
TPGS2,5.067955056179775,3.6465467065868262,1.4214083495929488,3.0620791026681823e-47,0.9496064051671936,0.8562874251497006,2.802369253451098e-46
RP5-1185I7.1,-1.373194382022472,-9.790452095808382,8.41725771378591,3.1104299260963283e-47,0.9495727645831933,0.9640718562874252,2.845730056233781e-46
MYH9,7.808094943820225,5.826875449101796,1.9812194947184292,3.1104299260963283e-47,0.9495727645831931,0.8982035928143712,2.845730056233781e-46
MBIP,3.9468185393258426,2.307022155688623,1.6397963836372198,3.1348895244285047e-47,0.9495559442911929,0.8922155688622755,2.8672125406798788e-46
TAF3,1.5438691011235954,0.25673652694610777,1.2871325741774877,3.1595405492946745e-47,0.9495391239991927,0.8622754491017964,2.8888566398974767e-46
KRT8,10.269456741573032,7.82119880239521,2.4482579391778225,3.1595405492946745e-47,0.9495391239991926,0.8682634730538922,2.8888566398974767e-46
XRCC6P2,-2.0596606741573034,-4.536563473053893,2.4769027988965897,3.1843844915968055e-47,0.9495223037071924,0.8502994011976048,2.910663565333632e-46
SBF2,3.3414837078651685,1.5654514970059878,1.7760322108591806,3.1843844915968055e-47,0.9495223037071923,0.9281437125748503,2.910663565333632e-46
EIF3CL,5.745903370786517,4.227916766467065,1.5179866043194519,3.2094228537919993e-47,0.9495054834151921,0.8502994011976048,2.9326345374822825e-46
IGLV3-1,4.416704494382023,-4.295970658682635,8.712675153064659,3.2346571499813767e-47,0.9494886631231919,0.9161676646706587,2.9547707859513336e-46
PFKFB3,4.98770393258427,2.4169562874251493,2.5707476451591207,3.2346571499813767e-47,0.9494886631231918,0.8622754491017964,2.9547707859513336e-46
TLE3,4.2399264044943825,2.252431137724551,1.9874952667698316,3.260088905999141e-47,0.9494718428311916,0.9101796407185628,2.975681960148577e-46
POLR1C,4.417979213483147,3.0703628742514977,1.347616339231649,3.260088905999141e-47,0.9494718428311916,0.9101796407185628,2.975681960148577e-46
CHST11,3.2998134831460675,0.18359880239520954,3.1162146807508577,3.260088905999141e-47,0.9494718428311916,0.8982035928143712,2.975681960148577e-46
PMPCA,4.853158988764045,3.647214970059881,1.2059440187041646,3.260088905999141e-47,0.9494718428311915,0.9221556886227545,2.975681960148577e-46
PPP2R5D,4.207220224719101,2.9176898203592816,1.289530404359819,3.260088905999141e-47,0.9494718428311915,0.8982035928143712,2.975681960148577e-46
MYLK,4.758684831460674,1.5645814371257485,3.1941033943349257,3.2857196595039087e-47,0.9494550225391912,0.9041916167664671,2.9981424201463937e-46
SH3D19,4.449129775280899,2.404365868263473,2.044763907017426,3.2857196595039087e-47,0.9494550225391912,0.9221556886227545,2.9981424201463937e-46
CCDC103,0.10660842696629215,-2.388653293413174,2.495261720379466,3.311550960069575e-47,0.949438202247191,0.8682634730538922,3.0207718279638085e-46
MRVI1,2.9736893258426966,-0.003570658682634695,2.977259984525331,3.311550960069575e-47,0.9494382022471909,0.9401197604790419,3.0207718279638085e-46
TXNRD3,2.4511764044943822,1.1001041916167664,1.3510722128776158,3.337584369277131e-47,0.9494213819551908,0.8922155688622755,3.0440453049450973e-46
PCNP,5.855962921348315,4.422861676646706,1.433101244701609,3.3638214608072426e-47,0.9494045616631904,0.8862275449101796,3.067497275771312e-46
SNX16,2.015385393258427,0.09955449101796407,1.915830902240463,3.3902638205336784e-47,0.9493877413711901,0.9341317365269461,3.0911291030456563e-46
DSE,2.9541123595505616,0.21419281437125745,2.7399195451793044,3.443770749600118e-47,0.9493541007871897,0.9401197604790419,3.138449506570076e-46
