gene,K_EN,K_RF,K_XGB,K_mean,K_median,K_std,K_IQR,K_final,threshold_instability_score,threshold_method_EN,threshold_method_RF,threshold_method_XGB,fallback_used,fallback_reason,K_EN_orig,K_RF_orig,K_XGB_orig,K_mean_orig
RNF145,0.8088336370354198,0.0016423346751046313,0.8088336370354198,0.5397698695819814,0.8088336370354198,0.38051362907585307,0.40359565118015756,0.5397698695819814,0.38051362907585307,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,4.044492727272727,-9.937352135691707,4.044492727272727,-0.6161222270487521
LOXL1,0.7456719164366511,0.8434680618197335,0.7456719164366511,0.7782706315643453,0.7456719164366511,0.046101545049522054,0.04889807269154123,0.7782706315643453,0.046101545049522054,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,3.8119800000000015,5.618959378243217,3.8119800000000015,4.414306459414409
SLC16A1,0.7176798774401656,0.5292202757210848,0.8284982944598178,0.6917994825403561,0.7176798774401656,0.12354264919498564,0.14963900936936647,0.6917994825403561,0.12354264919498564,youden_index_fallback,polynomial_shap_crossing,polynomial_shap_crossing,yes,EN: Zero coefficient in SAGA Elastic Net model,1.3751927272727271,-1.6029024369727018,3.1263785985423787,0.9662229629474677
CLDN12,0.805650131495029,0.805650131495029,0.805650131495029,0.805650131495029,0.805650131495029,0.0,0.0,0.805650131495029,0.0,youden_index_fallback,youden_index_fallback,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; RF: No RF SHAP zero-crossing found; XGB: No XGBoost SHAP zero-crossing found,3.607954545454545,3.607954545454545,3.607954545454545,3.607954545454545
PKM,0.8113617306432034,0.8040054329892078,0.7987943931531775,0.8047205189285296,0.8040054329892078,0.005155450437644578,0.00628366874501296,0.8047205189285296,0.005155450437644578,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,7.546631594202901,7.38785326563906,7.275378181818182,7.403287680553381
PYGB,0.7711624104929587,0.8078794807735609,0.7711624104929587,0.7834014339198262,0.7711624104929587,0.017308592920477872,0.018358535140301058,0.7834014339198262,0.017308592920477872,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,4.56236,5.254083902137348,4.56236,4.792934634045784
IDO1,0.5209846943029529,0.8914858299436458,0.49041629025611766,0.6342956048342389,0.5209846943029529,0.18228862782295413,0.20053476984376406,0.6342956048342389,0.18228862782295413,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,-0.4030217391304375,6.397600705781608,-0.9641109090909085,1.6768226858534216
PSMB8,0.839005834785503,0.0018939697290309334,0.839005834785503,0.5599685464333456,0.839005834785503,0.39461831759543303,0.41855593252823603,0.5599685464333456,0.39461831759543303,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,5.61621636363636,-9.930625194192437,5.61621636363636,0.4339358443600947
TMEM173,0.8181535122346647,0.8422649817880461,0.8181535122346647,0.8261906687524584,0.8181535122346647,0.011366255750379306,0.01205573477669064,0.8261906687524584,0.011366255750379306,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,4.1183036363636365,4.5333705289903214,4.1183036363636365,4.256659267239195
MMP13,0.2735167571831004,0.24547176876260945,0.24547176876260945,0.25482009823610646,0.24547176876260945,0.013220534326951576,0.014022494210245484,0.25482009823610646,0.013220534326951576,linear_coefficient_crossing,youden_index_fallback,youden_index_fallback,yes,RF: No RF SHAP zero-crossing found; XGB: No XGBoost SHAP zero-crossing found,-5.071682608695629,-5.5735,-5.5735,-5.406227536231876
PXDN,0.7169660210736699,0.7169660210736699,0.7169660210736699,0.7169660210736698,0.7169660210736699,1.1102230246251565e-16,0.0,0.7169660210736698,1.1102230246251565e-16,youden_index_fallback,youden_index_fallback,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; RF: No RF SHAP zero-crossing found; XGB: No XGBoost SHAP zero-crossing found,1.8787654545454548,1.8787654545454548,1.8787654545454548,1.8787654545454533
CALM2,0.8804761346725599,0.36149277185256123,0.8804761346725599,0.7074816803992271,0.8804761346725599,0.24465110344867963,0.25949168140999934,0.7074816803992271,0.24465110344867963,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,7.724814545454546,-2.7026510786611535,7.724814545454546,4.248992670749313
