gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
RP11-64K7.1,-1.8095786516853933,-9.53953353293413,7.7299548812487355,1.3781126904754097e-170,0.9963499966359415,1.0,2.6910406506913326e-166
COMMD1,5.2801994382022475,3.289003592814371,1.9911958453878764,2.2587309181657278e-38,0.9963331763439413,1.0,2.1737919486950303e-37
IFI27,9.6286797752809,3.577565868263473,6.051113907017427,1.5352624883348659e-109,0.9963331763439413,0.9940119760479041,9.883210091114811e-107
EEF1A1P19,0.35496179775280895,-2.399490419161677,2.754452216914486,7.989694442327987e-78,0.9961145125479378,1.0,4.973903189436937e-76
SHFM1,7.948083146067416,5.074023952095808,2.8740591939716085,5.338347442278663e-51,0.996064051671937,1.0,9.117368265776278e-50
TCEB2,8.639669662921348,6.012325149700599,2.6273445132207485,2.257353660461693e-43,0.9960304110879363,1.0,2.7321908013121168e-42
LINC00920,0.47972977528089894,-4.7739347305389215,5.25366450581982,1.1313857470588965e-87,0.9959799502119356,1.0,1.3150338977868494e-85
UBE2T,3.523629213483147,-2.122492814371258,5.646122027854405,1.887480485684782e-89,0.9959463096279351,1.0,2.38298479163578e-87
UBE2S,4.897186516853933,1.1183263473053895,3.778860169548543,1.388144888874458e-89,0.9958958487519344,0.9940119760479041,1.7872289172561456e-87
DYNLRB1,7.871419101123595,5.152926347305389,2.7184927538182064,1.9405909223621492e-47,0.9958958487519343,1.0,2.822287905235776e-46
NDUFA1,7.0867589887640445,4.957808982035928,2.1289500067281164,2.797039624971716e-36,0.995879028459934,0.9880239520958084,2.445572810006987e-35
MMP28,5.0181438202247195,-0.9867784431137725,6.004922263338492,3.6027858544277694e-120,0.9958622081679338,0.9880239520958084,6.207494062889211e-117
GTF3A,6.591077528089888,4.980064071856288,1.6110134562336,3.4434042074458183e-25,0.9957276458319316,1.0,9.57370962868455e-25
DNASE2,5.541466292134832,3.2796485029940117,2.26181778914082,2.2296197574699826e-44,0.9956603646639306,1.0,2.843129190516958e-43
COX6B1,8.414730337078652,6.102780838323353,2.3119494987552986,1.4604178487022292e-36,0.9954921617439277,1.0,1.2921422442958055e-35
PTTG1,4.587000561797753,-0.757154491017964,5.344155052815717,2.1514368378805894e-119,0.9954417008679272,1.0,3.3166663526284946e-116
TPX2,3.041775280898876,-3.6129107784431134,6.654686059341989,1.451805411758553e-112,0.9954080602839265,1.0,1.269376310839221e-109
ATP5E,6.797673595505619,3.8942940119760476,2.903379583529571,2.6615734842236927e-56,0.9953575994079257,0.9940119760479041,5.863769698356831e-55
CFL1,10.00767191011236,6.420431137724551,3.58724077238781,1.455123511496076e-58,0.9953575994079257,1.0,3.5771124811981376e-57
