gene_A,gene_B,K_A,K_B,disc_sens,disc_spec,val_sens,val_spec,ext_sens,ext_spec,tumor_correlation,pair_score
CEACAM5,TXN,0.40677820318024827,0.8228848534305958,0.9269662921348315,0.9880239520958084,0.028985507246376812,0.9836065573770492,0.28888888888888886,1.0,0.3901315687986953,0.3931696195516276
COLGALT1,LMNB1,0.8541952185168267,0.7437815024738708,0.9101123595505618,0.9880239520958084,0.028985507246376812,1.0,0.022222222222222223,1.0,0.38158216710763604,0.39042082971707104
RCN1,FBXL2,0.8391026610009126,0.7510725925338305,0.8539325842696629,0.9880239520958084,0.057971014492753624,1.0,0.1111111111111111,1.0,0.31442043657212504,0.3903374617710874
COLGALT1,TXN,0.8541952185168267,0.8228848534305958,0.9157303370786517,0.9640718562874252,0.014492753623188406,1.0,0.022222222222222223,1.0,0.33333297869624057,0.3900896523897991
ANKLE2,LMNB1,0.8737717772169268,0.7437815024738708,0.8651685393258427,0.9940119760479041,0.014492753623188406,0.9836065573770492,0.022222222222222223,1.0,0.22998005159999188,0.3889126086981418
MISP,TXN,0.6499979430526112,0.8228848534305958,0.9831460674157303,0.9940119760479041,0.0,1.0,0.1111111111111111,0.9777777777777777,0.5207196721451004,0.3859573237288215
CTTN,COLGALT1,0.538647950435518,0.8541952185168267,0.8314606741573034,0.9461077844311377,0.13043478260869565,1.0,0.08888888888888889,1.0,0.4116589719324978,0.38565626466881436
ANKLE2,TSPAN1,0.8737717772169268,0.69298776371519,0.848314606741573,0.9880239520958084,0.028985507246376812,1.0,0.022222222222222223,1.0,0.2676780921936217,0.3824877915073825
COLGALT1,FBXL2,0.8541952185168267,0.7510725925338305,0.8258426966292135,0.9520958083832335,0.043478260869565216,1.0,0.044444444444444446,1.0,0.20968526145523472,0.3823123970272193
NT5C2,TSPAN1,0.8527128545088938,0.69298776371519,0.8539325842696629,0.9880239520958084,0.08695652173913043,0.9836065573770492,0.044444444444444446,1.0,0.41268395700784793,0.38123462545782505
CTTN,FBXL2,0.538647950435518,0.7510725925338305,0.7865168539325843,0.9281437125748503,0.11594202898550725,1.0,0.2222222222222222,0.9777777777777777,0.28130161657254726,0.3787572819244508
GRN,COLGALT1,0.8306098746530998,0.8541952185168267,0.9157303370786517,0.9940119760479041,0.028985507246376812,1.0,0.022222222222222223,1.0,0.46843375237252216,0.3772569264120742
