gene,log2fc,fdr,auc,log2fc_val,fdr_val,auc_val,direction_consistent,protein_coding_status,stability_score
ECT2,3.858148496265895,4.9367327994947335e-92,0.9863755634797818,1.1909450487051547,4.595862903708805e-12,0.8595866001425517,True,Protein Coding,0.9229810818069248
CORO2A,6.426852216914485,2.65470420614036e-136,0.9971405503599542,0.7989425207887861,1.6744129227491558e-10,0.8486576383939177,True,Protein Coding,0.9228990942224046
S100A11,4.405438838054228,6.1055211092357575e-68,0.9760815447756173,0.577888301259204,3.1975865673560974e-12,0.8688524590163934,True,Protein Coding,0.9224670018930556
NQO1,6.048870369373612,5.422842389127072e-117,0.9942138195519074,1.3107429508196722,1.209092651392579e-11,0.8500831551437397,True,Protein Coding,0.9221484873366739
INPP4B,3.9145344311377244,1.180200882553888e-87,0.9779149566036466,1.1802286695177004,1.2728138492204198e-11,0.8662390116417201,True,Protein Coding,0.922076984110947
ANO1,4.975728224449978,1.3347364892602651e-105,0.9918421583798694,1.2046539866951784,7.204661822326555e-12,0.8515086718935614,True,Protein Coding,0.9216754151300751
SERPINB5,8.11379491017964,1.0183245652128346e-90,0.962692592343403,1.9741270491803276,1.4702848190655854e-13,0.880256593014968,True,Protein Coding,0.92147459267905
PLAU,5.273675967166788,1.0848544255142606e-98,0.9865437663997847,1.2945164124495125,1.6287220231928064e-11,0.8560228082679971,True,Protein Coding,0.9212832873188859
SDC1,4.570934521967301,5.335592136331134e-88,0.9802361568996837,0.7746903254929913,4.824543170982332e-12,0.862200047517225,True,Protein Coding,0.9212181022040099
TRIM59,3.099943756307609,2.986069642456991e-82,0.9862410011437798,0.8159134948918982,5.2540233233043066e-11,0.8557852221430269,True,Protein Coding,0.9210131115950131
SULF1,6.5344602469218875,7.67813452406582e-120,0.9883098970598129,1.980705744832501,4.4104315871853844e-11,0.8534093608933239,True,Protein Coding,0.9208596289359545
HSD17B6,4.950228042790823,7.136822684458964e-75,0.9813462961717017,0.7389667854597288,1.1641651673223897e-11,0.8602993585174625,True,Protein Coding,0.9208228273338621
MTMR11,3.7229446006862688,5.488943624649005e-65,0.968562874251497,0.9570635091470665,1.6990464903527384e-12,0.8728914231408885,True,Protein Coding,0.9207271486946284
MICAL2,2.6516088239251827,1.8889888625099366e-53,0.9743322344075893,1.1337778878593472,1.0007562520130712e-12,0.8664765977666904,True,Protein Coding,0.9204044160862187
IFI27,6.051113907017427,9.883210091114811e-107,0.9963331763439413,1.229922606319792,1.1641651673223897e-11,0.8434307436445712,True,Protein Coding,0.9198819599835473
CTSE,8.106601345623359,1.0581872992448256e-83,0.9547029536432753,2.5513469802803517,2.083167270213249e-14,0.8847707293894037,True,Protein Coding,0.9197368415163203
EFNA5,4.962883008141022,1.146800319490428e-106,0.984945838659759,1.0036847540983596,4.664904972351231e-12,0.8538845331432644,True,Protein Coding,0.9194151858972227
POSTN,7.306667409002221,1.8898774022119505e-121,0.9873006795397967,2.499748146828227,1.8143754354740497e-11,0.8515086718935614,True,Protein Coding,0.9194046756999976
CEMIP,4.825729166386328,8.796979000228859e-91,0.9843066675637488,1.3872536231884056,1.553036872701053e-11,0.8541221192682348,True,Protein Coding,0.9192143934017161
SLC16A3,5.53551100047097,5.954071051600299e-106,0.9916571351678665,0.8064416821097655,1.4481915000985978e-11,0.8467569493941554,True,Protein Coding,0.9192070422676991
SEC14L2,3.7454586321738548,2.9548254026360887e-87,0.9941969992599071,0.6001732074126869,3.1637795978238725e-10,0.8439059158945118,True,Protein Coding,0.9190514572864419
NTM,6.183792565430936,1.575574583896831e-96,0.982944223911727,0.8669481848420029,7.1833898702278085e-12,0.8548348776431457,True,Protein Coding,0.9188895507708357
S100P,10.190372000941935,8.027990248819427e-99,0.9730370719235686,0.9755156094084105,1.3575691954423093e-12,0.864575908766928,True,Protein Coding,0.918806490344001
ABHD17C,3.813831773531588,2.0636550303569997e-87,0.9939615151719032,0.830016557377049,2.662728224760691e-11,0.843430743644571,True,Protein Coding,0.9186961293837749
CAP1,3.155024063109737,4.582025836608298e-57,0.9849121980757586,0.7728116535994323,4.46394134741996e-10,0.8524590163934427,True,Protein Coding,0.9186856068245047
OAS1,5.021170345825203,5.251000354487479e-100,0.991808517795869,1.0038301354240904,7.375851239442592e-11,0.8453314326443335,True,Protein Coding,0.918569975152349
TPM4,3.788808723003431,1.4096387369562534e-65,0.9852822444997645,0.7787695141363766,6.907707043686182e-10,0.8517462580185317,True,Protein Coding,0.9185142506246654
LGALS3BP,4.172795868936285,2.0851558249015792e-72,0.997746080871964,0.6449422713233552,1.1829744299861455e-10,0.8391541933951057,True,Protein Coding,0.9184501370248845
PGK1,2.925468387943213,2.6581435106933622e-49,0.9882426158918117,0.9298134925160371,6.750109913264904e-11,0.8486576383939178,True,Protein Coding,0.9184501270808684
FERMT1,4.294759580838323,1.3669910929182587e-76,0.9720783152795532,1.3403960655737706,1.195508539306908e-12,0.8645759087669279,True,Protein Coding,0.9183271120221427
CEACAM6,7.722300884747359,2.6710174917988526e-84,0.9680414451994886,2.4213085293418866,2.1873517145344557e-12,0.868377286766453,True,Protein Coding,0.9182093659809624
HN1,4.846324271681356,2.5270509718852726e-97,0.9944829442239116,0.7909248443810881,1.1829744299861455e-10,0.8417676407697791,True,Protein Coding,0.9181252923882334
LGALS3,3.856489682432886,2.2005576840539175e-66,0.9663257754154614,0.8723374221905464,1.057654751828938e-12,0.8695652173913042,True,Protein Coding,0.917945496402412
SLC44A1,2.5379702482675093,7.116030973037532e-53,0.9809594294556954,0.7494909384651942,1.5835189670515272e-11,0.854359705393205,True,Protein Coding,0.9176595674099188
