gene,cell_type,mean_expression,percent_expressing_fraction,n_cells,is_target_compartment,is_off_target_compartment,source_h5ad,annotation_version
COL1A1,B cells,1.1796436309814453,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
NEK7,B cells,2.978328227996826,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
ELK3,B cells,0.9317815899848938,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
MAML2,B cells,1.3627076148986816,0.2857142857142857,21,0,1,GSE154778,v4_unbiased_metadata
CHST11,B cells,0.22856026887893677,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
CEP170,B cells,2.0771663188934326,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
MYO1D,B cells,2.305967330932617,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
RAB23,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
CORO1C,B cells,1.1324841976165771,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
SPRY4,B cells,2.072962522506714,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
WNT2,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
COMP,B cells,0.483381450176239,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
KIF13B,B cells,2.272716522216797,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
CCL18,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
KDELC1,B cells,0.4283389151096344,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
HLA-F,B cells,2.7545933723449707,0.5714285714285714,21,0,1,GSE154778,v4_unbiased_metadata
COL4A2,B cells,0.453750878572464,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
NRG3,B cells,0.6662862300872803,0.14285714285714285,21,0,1,GSE154778,v4_unbiased_metadata
CD82,B cells,3.9158332347869873,0.8095238095238095,21,0,1,GSE154778,v4_unbiased_metadata
CAMSAP2,B cells,1.1633033752441406,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
LEMD1,B cells,2.2835733890533447,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
KRT7,B cells,3.8087222576141357,0.7619047619047619,21,0,1,GSE154778,v4_unbiased_metadata
RAB25,B cells,3.9090070724487305,0.8095238095238095,21,0,1,GSE154778,v4_unbiased_metadata
NUF2,B cells,0.4801350235939026,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
CKMT1A,B cells,1.1425206661224365,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
ASPN,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
ERN2,B cells,1.8129061460494995,0.38095238095238093,21,0,1,GSE154778,v4_unbiased_metadata
PLEKHG1,B cells,0.4573700428009033,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
PLEKHA2,B cells,0.4606652855873108,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
IGFL2,B cells,0.23210503160953522,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
KNTC1,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
BRIP1,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
HLA-C,B cells,2.5841825008392334,0.5238095238095238,21,0,1,GSE154778,v4_unbiased_metadata
CST2,B cells,0.2366105020046234,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
DNAJA4,B cells,2.7525410652160645,0.5714285714285714,21,0,1,GSE154778,v4_unbiased_metadata
SLC7A7,B cells,1.367587685585022,0.2857142857142857,21,0,1,GSE154778,v4_unbiased_metadata
FXYD3,B cells,2.158348560333252,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
KPNA2,B cells,1.8390637636184692,0.38095238095238093,21,0,1,GSE154778,v4_unbiased_metadata
SPOCK1,B cells,0.22526498138904572,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
IL1A,B cells,0.23210503160953522,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
GBP3,B cells,4.116249084472656,0.8571428571428571,21,0,1,GSE154778,v4_unbiased_metadata
GAPDH,B cells,2.500899076461792,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
SMC6,B cells,0.8960520625114441,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
CALD1,B cells,2.526418447494507,0.5238095238095238,21,0,1,GSE154778,v4_unbiased_metadata
DGKA,B cells,1.142202377319336,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
KLK7,B cells,0.678623616695404,0.14285714285714285,21,0,1,GSE154778,v4_unbiased_metadata
PRDM1,B cells,0.4707736074924469,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
GPR87,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
KCNN4,B cells,3.419541835784912,0.7142857142857143,21,0,1,GSE154778,v4_unbiased_metadata
MXD1,B cells,1.832118034362793,0.38095238095238093,21,0,1,GSE154778,v4_unbiased_metadata
CLEC7A,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
S100A6,B cells,2.538407564163208,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
SULT1B1,B cells,1.1333587169647217,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
EPS8,B cells,3.9043877124786377,0.8095238095238095,21,0,1,GSE154778,v4_unbiased_metadata
ANKRD50,B cells,0.6861740946769714,0.14285714285714285,21,0,1,GSE154778,v4_unbiased_metadata
FLNA,B cells,2.099925994873047,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
GALNT5,B cells,2.2822558879852295,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
COL3A1,B cells,0.935668408870697,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
SCIN,B cells,0.6793339848518372,0.14285714285714285,21,0,1,GSE154778,v4_unbiased_metadata
HIST1H2BD,B cells,4.346799373626709,0.9047619047619048,21,0,1,GSE154778,v4_unbiased_metadata
WFDC2,B cells,3.915905237197876,0.8095238095238095,21,0,1,GSE154778,v4_unbiased_metadata
TEP1,B cells,0.8970485925674438,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
MARCO,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
KCND2,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
UBE2C,B cells,1.5934122800827026,0.3333333333333333,21,0,1,GSE154778,v4_unbiased_metadata
ARL6IP1,B cells,3.0232644081115723,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
C15orf48,B cells,3.545466423034668,0.7142857142857143,21,0,1,GSE154778,v4_unbiased_metadata
MISP,CAF / fibroblast,0.8713828921318054,0.18200270635994586,1478,0,1,GSE154778,v4_unbiased_metadata
OCIAD2,CAF / fibroblast,1.8516712188720703,0.37009472259810555,1478,0,1,GSE154778,v4_unbiased_metadata
MMP12,CAF / fibroblast,0.0,0.0,1478,0,1,GSE154778,v4_unbiased_metadata
CCNB1,CAF / fibroblast,0.6324132680892944,0.12990527740189445,1478,0,1,GSE154778,v4_unbiased_metadata
AGR2,CAF / fibroblast,1.3972643613815308,0.2780784844384303,1478,0,1,GSE154778,v4_unbiased_metadata
PLAC8,CAF / fibroblast,1.5487035512924194,0.3186738836265223,1478,0,1,GSE154778,v4_unbiased_metadata
LAMA3,CAF / fibroblast,0.8154078722000122,0.17050067658998647,1478,0,1,GSE154778,v4_unbiased_metadata
CEACAM5,CAF / fibroblast,0.6889635920524597,0.14411366711772666,1478,0,1,GSE154778,v4_unbiased_metadata
MMP9,CAF / fibroblast,0.19871428608894348,0.04059539918809202,1478,0,1,GSE154778,v4_unbiased_metadata
CST1,CAF / fibroblast,1.6607632637023926,0.3342354533152909,1478,0,1,GSE154778,v4_unbiased_metadata
GRN,CAF / fibroblast,4.065352916717529,0.8112313937753721,1478,0,1,GSE154778,v4_unbiased_metadata
RCN1,CAF / fibroblast,3.922009229660034,0.7895805142083897,1478,0,1,GSE154778,v4_unbiased_metadata
CTTN,CAF / fibroblast,3.390608549118042,0.6826792963464141,1478,0,1,GSE154778,v4_unbiased_metadata
SDC1,CAF / fibroblast,2.96648907661438,0.6021650879566982,1478,0,1,GSE154778,v4_unbiased_metadata
TPX2,CAF / fibroblast,0.4194597899913788,0.08660351826792964,1478,0,1,GSE154778,v4_unbiased_metadata
TOP2A,CAF / fibroblast,0.45202335715293884,0.09336941813261164,1478,0,1,GSE154778,v4_unbiased_metadata
PTPRR,CAF / fibroblast,0.28337016701698303,0.05953991880920163,1478,0,1,GSE154778,v4_unbiased_metadata
ETV1,CAF / fibroblast,1.6206200122833252,0.3274695534506089,1478,0,1,GSE154778,v4_unbiased_metadata
DOCK5,CAF / fibroblast,1.3000949621200562,0.2658998646820027,1478,0,1,GSE154778,v4_unbiased_metadata
EDIL3,CAF / fibroblast,2.1077535152435303,0.4242219215155616,1478,0,1,GSE154778,v4_unbiased_metadata
DNTTIP1,CAF / fibroblast,1.8036177158355713,0.36738836265223274,1478,0,1,GSE154778,v4_unbiased_metadata
DSG2,CAF / fibroblast,1.786186933517456,0.36738836265223274,1478,0,1,GSE154778,v4_unbiased_metadata
CAPN9,CAF / fibroblast,0.27637675404548645,0.058186738836265225,1478,0,1,GSE154778,v4_unbiased_metadata
ANKLE2,CAF / fibroblast,2.016786813735962,0.41069012178619757,1478,0,1,GSE154778,v4_unbiased_metadata
CDH3,CAF / fibroblast,0.5000416040420532,0.10419485791610285,1478,0,1,GSE154778,v4_unbiased_metadata
COL17A1,CAF / fibroblast,0.6827875971794128,0.14343707713125844,1478,0,1,GSE154778,v4_unbiased_metadata
DPCR1,CAF / fibroblast,0.6521902680397034,0.13667117726657646,1478,0,1,GSE154778,v4_unbiased_metadata
COLGALT1,CAF / fibroblast,2.0923655033111572,0.4248985115020298,1478,0,1,GSE154778,v4_unbiased_metadata
LMNB1,CAF / fibroblast,0.3853761553764343,0.07983761840324763,1478,0,1,GSE154778,v4_unbiased_metadata
UACA,CAF / fibroblast,2.7837088108062744,0.560893098782138,1478,0,1,GSE154778,v4_unbiased_metadata
SPARC,CAF / fibroblast,4.484557628631592,0.8998646820027063,1478,0,1,GSE154778,v4_unbiased_metadata
NT5C2,CAF / fibroblast,1.3970956802368164,0.2868741542625169,1478,0,1,GSE154778,v4_unbiased_metadata
TXN,CAF / fibroblast,3.8871872425079346,0.7428958051420839,1478,0,1,GSE154778,v4_unbiased_metadata
PLS1,CAF / fibroblast,0.8946537971496582,0.18741542625169147,1478,0,1,GSE154778,v4_unbiased_metadata
RNF145,CAF / fibroblast,2.457638740539551,0.4993234100135318,1478,0,1,GSE154778,v4_unbiased_metadata
LOXL1,CAF / fibroblast,2.9828619956970215,0.5987821380243572,1478,0,1,GSE154778,v4_unbiased_metadata
SLC16A1,CAF / fibroblast,1.5745242834091187,0.3200270635994587,1478,0,1,GSE154778,v4_unbiased_metadata
CLDN12,CAF / fibroblast,1.03544020652771,0.21312584573748308,1478,0,1,GSE154778,v4_unbiased_metadata
PKM,CAF / fibroblast,4.099034309387207,0.790257104194858,1478,0,1,GSE154778,v4_unbiased_metadata
PYGB,CAF / fibroblast,1.7985886335372925,0.36738836265223274,1478,0,1,GSE154778,v4_unbiased_metadata
IDO1,CAF / fibroblast,0.11466225236654282,0.02368064952638701,1478,0,1,GSE154778,v4_unbiased_metadata
PSMB8,CAF / fibroblast,3.048858404159546,0.6177266576454669,1478,0,1,GSE154778,v4_unbiased_metadata
TMEM173,CAF / fibroblast,2.1330854892730713,0.43369418132611637,1478,0,1,GSE154778,v4_unbiased_metadata
MMP13,CAF / fibroblast,0.14933712780475616,0.030446549391069014,1478,0,1,GSE154778,v4_unbiased_metadata
PXDN,CAF / fibroblast,1.2370262145996094,0.2483085250338295,1478,0,1,GSE154778,v4_unbiased_metadata
CALM2,CAF / fibroblast,4.177349090576172,0.7949932341001353,1478,0,1,GSE154778,v4_unbiased_metadata
SLC44A4,CAF / fibroblast,1.1606285572052002,0.24154262516914748,1478,0,1,GSE154778,v4_unbiased_metadata
LGR5,CAF / fibroblast,0.3312973082065582,0.06833558863328823,1478,0,1,GSE154778,v4_unbiased_metadata
TIMP1,CAF / fibroblast,4.227427959442139,0.8058186738836265,1478,0,1,GSE154778,v4_unbiased_metadata
KIF4A,CAF / fibroblast,0.22436973452568054,0.04668470906630582,1478,0,1,GSE154778,v4_unbiased_metadata
NEK2,CAF / fibroblast,0.2314380705356598,0.04803788903924222,1478,0,1,GSE154778,v4_unbiased_metadata
FBXL2,CAF / fibroblast,0.5070831179618835,0.10351826792963464,1478,0,1,GSE154778,v4_unbiased_metadata
