gene_A,gene_B,gene_A_auc,gene_B_auc,gene_A_log2fc,gene_B_log2fc,correlation,abs_correlation,tumor_AND_activation,normal_AND_activation,AND_sensitivity,AND_specificity,pair_score
OCIAD2,BLOC1S1,0.996938706855951,0.995122115319922,3.9669676209379,2.293008490883402,0.8683548985067557,0.8683548985067557,0.9606741573033708,0.0,0.9606741573033708,1.0,0.12596602078327526
EPHX4,IFI27,0.9968377851039494,0.9963331763439413,7.818003390970866,6.051113907017427,0.8645169748325268,0.8645169748325268,0.9438202247191011,0.011976047904191617,0.9438202247191011,0.9880239520958084,0.12590883149587198
PKM,EPHX4,0.9953239588239252,0.9968377851039494,4.02694682432887,7.818003390970866,0.864611463783858,0.864611463783858,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.12576638528395453
PKM,SHFM1,0.9953239588239252,0.996064051671937,4.02694682432887,2.8740591939716085,0.8669682209321521,0.8669682209321521,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.12574821455266855
GTF3A,COX6B1,0.9957276458319316,0.9954921617439276,1.6110134562336,2.311949498755298,0.8661739094732454,0.8661739094732454,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.12574430312058574
TEX264,DHRS7B,0.9965686604319453,0.9949875529839196,1.974107619592277,1.7343585581645686,0.8663407932755529,0.8663407932755529,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.12560871479816949
PKM,MGST2,0.9953239588239252,0.9968377851039494,4.02694682432887,2.420642397228016,0.8656934850505844,0.8656934850505844,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.12550833740619863
ATP5E,BOLA2B,0.9953575994079256,0.9969050662719504,2.903379583529571,2.9417004743322352,0.8657077161235031,0.8657077161235031,0.9382022471910112,0.0,0.9382022471910112,1.0,0.12550589628414816
LINC01420,COX7A2,0.994869810939918,0.9967705039359482,2.968724063109736,2.320042726905739,0.8679966533516562,0.8679966533516562,0.9662921348314607,0.011976047904191617,0.9662921348314607,0.9880239520958084,0.1254994355740799
TPX2,S100A6,0.9954080602839264,0.9968377851039494,6.654686059341989,6.411394479580163,0.8641173487165977,0.8641173487165977,0.9269662921348315,0.0,0.9269662921348315,1.0,0.1254702860509603
NUDT1,ATP5E,0.9945838659759132,0.9953575994079256,3.1617194577137866,2.903379583529571,0.8655825805916035,0.8655825805916035,0.949438202247191,0.011976047904191617,0.949438202247191,0.9880239520958084,0.1254584838494098
PTTG1,DYNLRB1,0.9954417008679272,0.9958958487519344,5.344155052815717,2.7184927538182064,0.8665389161205392,0.8665389161205392,0.9438202247191011,0.0,0.9438202247191011,1.0,0.1254176948895474
SNRPD1,TPX2,0.9946847877279148,0.9954080602839264,3.0110962154343013,6.654686059341989,0.8648585266600951,0.8648585266600951,0.9325842696629213,0.0,0.9325842696629213,1.0,0.1254065090099595
BLOC1S1,S100A6,0.995122115319922,0.9968377851039494,2.293008490883402,6.411394479580163,0.8658280383304208,0.8658280383304208,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.12536989485041225
GAPDH,NDUFC2,0.9971741909439548,0.9971741909439548,3.5851202650878014,2.232745428244634,0.8676066212178057,0.8676066212178057,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.1253308056159374
MRPL14,SHFM1,0.9965350198479448,0.996064051671937,2.674413590795937,2.8740591939716085,0.868287933081451,0.868287933081451,0.9550561797752809,0.0,0.9550561797752809,1.0,0.12532693309684576
UQCR10,CKS2,0.9952903182399246,0.9946511471439144,2.180370561124943,4.81815380475005,0.867348135296734,0.867348135296734,0.949438202247191,0.0,0.949438202247191,1.0,0.12531133814512407
RGS10,COMMD1,0.995189396487923,0.9963331763439413,4.373259220884075,1.9911958453878764,0.8625977666367775,0.8625977666367775,0.9269662921348315,0.011976047904191617,0.9269662921348315,0.9880239520958084,0.1253084749411719
ATP5E,COMMD1,0.9953575994079256,0.9963331763439413,2.903379583529571,1.9911958453878764,0.8634543624645132,0.8634543624645132,0.9325842696629213,0.011976047904191617,0.9325842696629213,0.9880239520958084,0.1252925662726871
NUDT1,MDK,0.9945838659759132,0.9973592141559576,3.1617194577137866,5.13613744533405,0.8667211096322158,0.8667211096322158,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.1252756359601814
PSMB6,GAPDH,0.9951052950279218,0.9971741909439548,1.9886599845253323,3.5851202650878014,0.8675449655815405,0.8675449655815405,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.12525909606626373
