gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category,target_coexpr_est,max_off_target_coexpr_est,max_off_target_compartment,scrna_score
CDH3,CEP55,0.7656191155187965,0.6504842260639693,0.8258426966292135,1.0,0.9565217391304348,0.3278688524590163,0.5610488513225211,0.1512701316705805,0.0092228620594016,0.080246496864991,0.7775583220546661,0.1122097702645042,0.0080246496864991,-1.9543980424669865,moderate correlation,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEACAM5,CEP55,0.3827813825580026,0.6504842260639693,0.9382022471910112,1.0,1.0,0.0,0.3692412774695855,0.0984764933069095,0.0092228620594016,0.0538496776831555,0.7345505617977528,0.0738482554939171,0.0053849677683155,-1.9564046060351288,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
SLFN13,CEP55,0.3323386602206725,0.6504842260639693,0.8820224719101124,1.0,1.0,0.0,0.4601968572841198,0.0,0.0092228620594016,0.0046114310297008,0.7205056179775281,0.0920393714568239,0.00046114310297,-1.9837168411529147,moderate correlation,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CAPN9,CEP55,0.6169507151469692,0.6504842260639693,0.6910112359550562,1.0,1.0,0.0,0.2010040253582826,0.2016655848611086,0.0092228620594016,0.1054442234602551,0.672752808988764,0.0402008050716565,0.0105444223460255,-1.9911228137037928,low-to-moderate correlation / partial independence,0.1225352112676056,0.1290322580645161,T cells,-0.5226260790549749
COL17A1,CEP55,0.5254345423950634,0.6504842260639693,0.9157303370786516,1.0,1.0,0.0,0.440940140346262,0.3938958284751969,0.0092228620594016,0.2015593452672992,0.7289325842696629,0.0881880280692524,0.0201559345267299,-1.9911333228969683,moderate correlation,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
AMIGO2,CEP55,0.6889829842469389,0.6504842260639693,0.9269662921348316,1.0,1.0,0.0,0.4038431871583494,1.1102230246251563e-16,0.0092228620594016,0.0046114310297008,0.7317415730337079,0.0807686374316698,0.00046114310297,-2.002449155004131,moderate correlation,0.1228169014084507,0.1306818181818181,normal acinar,-0.5305921895006398
IL18,CEP55,0.5370366951920088,0.6504842260639693,0.949438202247191,0.994011976047904,1.0,0.0,0.3308542255934139,0.3769109817692848,0.0092228620594016,0.1930669219143432,0.7358625445737738,0.0661708451186827,0.0193066921914343,-2.002575940239542,low-to-moderate correlation / partial independence,0.1228169014084507,0.1306818181818181,normal acinar,-0.5305921895006398
MUC4,CEP55,0.6588669326559171,0.6504842260639693,0.3707865168539326,1.0,0.5797101449275363,0.8688524590163934,0.4507396119983381,0.2225308109520564,0.0092228620594016,0.115876836505729,0.7048372801994656,0.0901479223996676,0.0115876836505729,-2.008620270421424,moderate correlation,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
TPX2,DGKA,0.7229964697986911,0.8656849345243938,0.5898876404494382,1.0,0.9565217391304348,0.2950819672131147,0.2523661487530236,0.1722119354068063,0.0433392405188523,0.1077755879628293,0.7103728366982469,0.0504732297506047,0.0107775587962829,-2.0252155025767373,low-to-moderate correlation / partial independence,0.1430985915492957,0.135593220338983,mast cells,-0.5348675101456193
CEP55,MXD1,0.6504842260639693,0.8119129102289314,0.6404494382022472,1.0,1.0,0.0,0.4152204442933663,0.0092228620594016,0.084329261757052,0.0467760619082268,0.6601123595505618,0.0830440888586732,0.0046776061908226,-2.039331280069583,moderate correlation,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
SPDL1,PLEKHA2,0.8285645113236431,0.2434402352438865,0.8764044943820225,0.9820359281437124,1.0,0.0,0.4937211940118331,0.0274796775752697,0.0,0.0137398387876348,0.7146101056314338,0.0987442388023666,0.0013739838787634,-2.0958216109161207,moderate correlation,0.1030985915492957,0.1290322580645161,T cells,-0.5420626987732848
SPDL1,CEP55,0.8285645113236431,0.6504842260639693,0.8595505617977528,0.994011976047904,1.0,0.0,0.5601872096445507,0.0274796775752697,0.0092228620594016,0.0183512698173356,0.7133906344614143,0.1120374419289101,0.0018351269817335,-2.1107954283156536,moderate correlation,0.1030985915492957,0.1290322580645161,T cells,-0.5420626987732848
CEP55,CHST11,0.6504842260639693,0.7099762560388095,0.9325842696629212,0.994011976047904,1.0,0.0,0.29332458790358,0.0092228620594016,0.0762768351835106,0.0427498486214561,0.7316490614277064,0.058664917580716,0.0042749848621456,-2.126297243063809,low-to-moderate correlation / partial independence,0.1228169014084507,0.1363636363636363,normal acinar,-0.5590012804097307
CST1,TPX2,0.5436593060985359,0.7229964697986911,0.8595505617977528,1.0,1.0,0.0,0.1858425862934926,0.2613835538362081,0.1722119354068063,0.2167977446215072,0.7148876404494382,0.0371685172586985,0.0216797744621507,-2.138340897838092,weak correlation / high independence,0.1019718309859154,0.1321695760598503,macrophages / monocytes,-0.558876049313336
CKMT1A,KLK7,0.706981588200439,0.3760186196818953,0.8707865168539326,0.9880239520958084,1.0,0.0,0.2627330214035032,0.047185313902442,0.0376421994110614,0.0424137566567517,0.7147026172374352,0.0525466042807006,0.0042413756656751,-2.200837877799482,low-to-moderate correlation / partial independence,0.1425352112676056,0.1428571428571428,B cells,-0.5717505030181084
CLIP4,KLK7,0.8148363732218226,0.3760186196818953,0.8146067415730337,0.9880239520958084,1.0,0.0,0.1804586114144815,0.0,0.0376421994110614,0.0188210997055307,0.7006576734172105,0.0360917222828963,0.001882109970553,-2.204519378152132,weak correlation / high independence,0.1408450704225352,0.1428571428571428,B cells,-0.5734406438631787
